asset,model,confidence_level,method,period,n_obs,expected_breaches,actual_breaches,breach_rate,kupiec_lr,kupiec_p_value,christoffersen_lr,christoffersen_p_value,es_tail_loss_ratio,avg_breach_size,max_cluster_length,avg_days_between_breaches
GLD,ewma_tuned,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,49,0.044585987261146494,0.7027130761239277,0.40187356029709553,10.948218308172272,0.0009369366503884091,1.017356186063245,0.0073202175590656535,2,32.0
GLD,ewma_tuned,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,10,0.009099181073703366,0.09288703739709092,0.7605384770378237,0.18382611764481283,0.6681055469475126,1.0344926036416942,0.010850545770853834,1,158.11111111111111
GLD,ewma_rolling_update,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,51,0.04640582347588717,0.30592448808425843,0.5801919172545631,4.62457877693447,0.03151699907651362,0.9959154341633027,0.006729451748241143,2,30.86
GLD,ewma_rolling_update,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,7,0.006369426751592357,1.679555785288244,0.19498348865188797,0.08982646414843032,0.7643978865128542,1.1358161625873335,0.015320846161574106,1,221.16666666666666
GLD,har_rolling_update,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,53,0.048225659690627844,0.0736724680681391,0.7860628482370656,3.988992754915671,0.04579843444519072,0.9764861558776051,0.006497732232634822,2,29.673076923076923
GLD,har_rolling_update,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,7,0.006369426751592357,1.679555785288244,0.19498348865188797,0.08982646414843032,0.7643978865128542,1.1358504838199293,0.01532176670863168,1,221.16666666666666
IWM,ewma_094,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,48,0.04367606915377616,0.9647859151633043,0.32598400826358576,1.5212107195225144,0.21743636720077797,0.9250363139174466,0.007418785930261833,3,33.851063829787236
IWM,ewma_094,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,6,0.00545950864422202,2.740135413101356,0.09785647419034993,5.233898913700898,0.022150825286584963,0.9764836295106332,0.009530454970589363,2,121.0
IWM,ewma_tuned,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,51,0.04640582347588717,0.30592448808425843,0.5801919172545631,1.0421438377227332,0.3073233956610866,0.9156144104519175,0.007026866178771599,3,31.82
IWM,ewma_tuned,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,6,0.00545950864422202,2.740135413101356,0.09785647419034993,5.233898913700898,0.022150825286584963,1.00238224684366,0.010373537950159583,2,121.0
IWM,ewma_rolling_update,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,49,0.044585987261146494,0.7027130761239277,0.40187356029709553,0.29979414166831475,0.584011504227749,0.9156618551471577,0.007001819914665679,2,33.145833333333336
IWM,ewma_rolling_update,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,5,0.004549590536851683,4.137438816978587,0.041944586478244505,0.04574581370487607,0.8306385235480794,1.0308386419560989,0.01112042610066002,1,151.25
IWM,har_rolling_update,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,50,0.04549590536851683,0.48336415956634937,0.48690242927729155,0.23115444041161481,0.6306691464493255,0.9150255214714175,0.006950560537144934,2,32.46938775510204
IWM,har_rolling_update,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,5,0.004549590536851683,4.137438816978587,0.041944586478244505,0.04574581370487607,0.8306385235480794,1.0355281394651077,0.011258781008311196,1,151.25
JPM,ewma_094,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,52,0.047315741583257506,0.16961141335877983,0.6804573880216553,0.904531990139958,0.34156941759073745,1.0946625978807856,0.013100109997945161,2,30.862745098039216
JPM,ewma_094,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,16,0.014558689717925387,2.0223997469619235,0.15499402479012347,5.477760405921316,0.019259919944914716,1.0535613438220561,0.013842574780569003,2,97.33333333333333
JPM,ewma_tuned,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,58,0.052775250227479524,0.1751609477332181,0.6755652575979891,0.2937205576989186,0.5878461151156111,1.0913050573034417,0.012380789731359311,2,27.614035087719298
JPM,ewma_tuned,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,17,0.015468607825295723,2.8449971848315556,0.09165875414879188,5.014725260566365,0.025132617195171125,1.0682028762380713,0.01391948977970684,2,91.25
JPM,ewma_rolling_update,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,58,0.052775250227479524,0.1751609477332181,0.6755652575979891,0.0014879266267939784,0.969230309330434,1.0689050431944764,0.01192296210271374,2,27.614035087719298
JPM,ewma_rolling_update,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,18,0.01637852593266606,3.7871580519118027,0.05164726955029986,1.0885283359429536,0.2967975121817008,1.0064411028410927,0.011314542125228026,2,90.17647058823529
JPM,har_rolling_update,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,58,0.052775250227479524,0.1751609477332181,0.6755652575979891,0.0014879266267939784,0.969230309330434,1.0665337071275993,0.011873235030221975,2,27.614035087719298
JPM,har_rolling_update,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,17,0.015468607825295723,2.8449971848315556,0.09165875414879188,1.2624038658652807,0.2611965616070919,1.0174137130015242,0.011915111681977664,2,95.8125
MSFT,ewma_094,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,59,0.05368516833484986,0.30715484886144395,0.5794313541935328,0.548009691118466,0.45913207550692425,0.9797055385396708,0.010285540563181554,2,27.17241379310345
MSFT,ewma_094,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,10,0.009099181073703366,0.09288703739709092,0.7605384770378237,0.18382611764481283,0.6681055469475126,1.0421710237481705,0.014518588170622496,1,137.11111111111111
MSFT,ewma_tuned,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,60,0.0545950864422202,0.4749717554956874,0.4907087762921991,0.027203007130822243,0.8689964490644402,0.9931644749216295,0.010313351315467626,2,26.71186440677966
MSFT,ewma_tuned,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,11,0.010009099181073703,9.188333663701087e-06,0.9975814349357897,0.22263489469104059,0.637039553276101,1.0214941919056395,0.013045346408165404,1,123.4
MSFT,ewma_rolling_update,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,59,0.05368516833484986,0.30715484886144395,0.5794313541935328,0.548009691118466,0.45913207550692425,0.9799449525615161,0.010074492590697466,2,27.17241379310345
MSFT,ewma_rolling_update,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,10,0.009099181073703366,0.09288703739709092,0.7605384770378237,0.18382611764481283,0.6681055469475126,1.061433012206617,0.014868738384646408,1,137.11111111111111
